sentence_id,words,labels
20,the,O
20,vehicle,O
20,that,O
20,was,O
20,undesirable,O
20,under,O
20,the,O
20,circumstances,O
21,planning,B-C-2
21,discrepancy,I-C-2
21,",",O
21,incorrect,O
21,trajectory,O
21,estimating,O
21,during,O
21,parking,O
21,maneuver,O
22,safety,O
22,driver,O
22,disengaged,O
22,to,O
22,manually,O
22,drive,O
22,through,O
22,crosswalk,O
22,.,O
23,the,O
23,planner,O
23,was,O
23,not,O
23,able,O
23,to,O
23,generate,O
23,a,O
23,valid,O
23,trajectory,O
23,.,O
23,the,O
23,system,O
23,asked,O
23,the,O
23,operator,O
23,to,O
23,take,O
23,control,O
23,of,O
23,the,O
23,vehicle,O
23,.,O
24,driver,B-E
24,disengagement,I-E
24,due,O
24,to,O
24,planning,B-C-2
24,discrepancy,I-C-2
24,in,O
24,the,O
24,determination,O
24,of,O
24,autonomous,O
24,vehicle,O
24,speed,O
25,driver,B-E
25,disengagement,I-E
25,due,O
25,to,O
25,planning,B-C-2
25,discrepancy,I-C-2
25,in,O
25,the,O
25,recommendation,O
25,of,O
25,lane,O
25,change,O
26,driver,B-E
26,disengagement,I-E
26,due,O
26,to,O
26,safety,B-C-7
26,monitor,I-C-7
26,notification,I-C-7
26,of,O
26,general,O
26,system,O
26,discrepancy,O
27,delivery,O
27,truck,O
27,parked,O
27,in,O
27,lane,O
27,",",O
27,would,O
27,break,O
27,rules,O
27,to,O
27,cross,O
27,into,O
27,oncoming,O
27,lane,O
27,to,O
27,get,O
27,around,O
27,it,O
28,car,O
28,detected,O
28,red,O
28,traffic,O
28,light,O
28,color,O
28,instead,O
28,of,O
28,green,O
28,",",O
28,missclassification,B-C-0
28,in,I-C-0
28,perception,I-C-0
29,controls,B-E
29,disengaged,I-E
29,after,O
29,requested,O
29,a,O
29,deceleration,O
29,beyond,O
29,limit,O
30,car,O
30,software,O
30,crashed,O
30,",",O
30,and,O
30,system,O
30,needed,O
30,to,O
30,be,O
30,rebooted,O
30,",",O
30,under,O
30,investigation,O
31,vehicle,O
31,in,O
31,adjacent,O
31,lane,O
31,was,O
31,too,O
31,close,O
31,to,O
31,car,O
32,industrial,O
32,garbage,O
32,bin,O
32,obstructing,O
32,lane,O
33,car,O
33,steering,O
33,into,O
33,bike,O
33,lane,O
33,",",O
33,disagreement,O
33,between,O
33,actual,O
33,and,O
33,estimated,O
33,positions,O
34,car,O
34,too,O
34,slow,O
34,to,O
34,make,O
34,left,O
34,turn,O
34,at,O
34,intersection,O
34,",",O
34,due,O
34,to,O
34,internal,B-C-7
34,system,I-C-7
34,speed,I-C-7
34,contraint,I-C-7
35,car,O
35,stopped,O
35,in,O
35,middle,O
35,of,O
35,intersection,O
35,and,O
35,did,O
35,not,O
35,proceed,O
35,after,O
35,pedestrian,O
35,was,O
35,finished,O
35,crossing,O
35,crosswalk,O
36,car,O
36,did,O
36,not,O
36,see,O
36,vehicle,O
36,to,O
36,right,O
36,during,O
36,4-way,O
36,stop,O
36,",",O
36,perception,B-C-0
36,issue,I-C-0
37,person,O
37,on,O
37,scooter,O
37,weaving,O
37,in,O
37,lane,O
38,yellow,O
38,light,O
38,detected,O
38,in,O
38,middle,O
38,of,O
38,right-turn,O
38,at,O
38,traffic,O
38,light,O
39,car,O
39,did,O
39,not,O
39,detect,O
39,vehicle,O
39,in,O
39,front,O
39,",",O
39,perception,O
39,saw,O
39,vehicle,O
39,in,O
39,motion,O
39,when,O
39,static,O
40,vehicle,O
40,backing,O
40,up,O
40,from,O
40,parking,O
40,spot,O
40,into,O
40,lane,O
41,car,O
41,stopped,O
41,on,O
41,right,O
41,turn,O
41,on,O
41,red,O
41,(,O
41,did,O
41,not,O
41,complete,O
41,turn,O
41,),O
41,",",O
41,slow,O
41,down,O
41,command,O
41,during,O
41,turn,O
41,execution,O
42,safety,O
42,driver,O
42,disengaged,B-E
42,due,O
42,to,O
42,cut-in,B-C-5
42,issue,I-C-5
42,.,O
43,disengage,B-E
43,for,O
43,unwanted,B-CE-3
43,maneuver,I-CE-3
43,of,O
43,the,O
43,vehicle,O
43,caused,O
43,by,O
43,a,O
43,planning,B-C-2
43,discrepancy,I-C-2
43,while,O
43,generating,O
43,an,O
43,appropriate,O
43,trajectory,O
44,the,B-C-4
44,operator,I-C-4
44,disengaged,O
44,the,O
44,system,O
44,manually,O
44,to,O
44,remain,O
44,in,O
44,the,O
44,operational,O
44,design,O
44,domain,O
44,.,O
44,this,O
44,was,O
44,accomplished,O
44,by,O
44,pressing,O
44,the,O
44,brake,O
44,pedal,O
44,to,O
44,reduce,O
44,the,O
44,velocity,O
44,of,O
44,the,O
44,vehicle,O
44,.,O
45,safety,B-C-4
45,driver,I-C-4
45,disengaged,O
45,to,O
45,ensure,O
45,proper,O
45,behavior,O
45,at,O
45,traffic,O
45,light,O
45,.,O
46,driver,B-CE-4
46,disengagement,I-CE-4
46,due,O
46,to,O
46,control,B-C-3
46,discrepancy,I-C-3
46,resulting,O
46,in,O
46,undesired,B-E
46,lateral,I-E
46,movement,I-E
46,in,O
46,the,O
46,lane,O
47,safety,O
47,driver,O
47,disengaged,O
47,to,O
47,re-center,O
47,vehicle,O
47,in,O
47,lane,O
47,.,O
48,safety,O
48,driver,O
48,disengaged,O
48,upon,O
48,judging,O
48,that,O
48,vehicle,O
48,was,O
48,too,O
48,close,O
48,to,O
48,other,O
48,road,O
48,user,O
48,or,O
48,obstacle,O
48,.,O
49,safety,O
49,driver,O
49,disengaged,O
49,upon,O
49,judging,O
49,that,O
49,vehicle,O
49,was,O
49,too,O
49,close,O
49,to,O
49,road,O
49,boundary,O
49,.,O
50,safety,O
50,driver,O
50,disengaged,B-E
50,due,O
50,to,O
50,inappropriate,B-CE-3
50,braking,I-CE-3
50,",",O
50,caused,O
50,by,O
50,perception,B-C-0
50,issue,I-C-0
50,.,O
51,safety,O
51,driver,O
51,disengaged,B-E
51,near,O
51,crosswalk,O
51,due,O
51,to,O
51,overly,B-C-3
51,conservative,I-C-3
51,vehicle,I-C-3
51,behavior,I-C-3
51,.,O
52,disengage,B-E
52,for,O
52,a,B-C-0
52,perception,I-C-0
52,discrepancy,I-C-0
52,for,O
52,which,O
52,a,O
52,component,O
52,of,O
52,the,O
52,vehicle,O
52,s,O
52,perception,O
52,system,O
52,failed,O
52,to,O
52,detect,O
52,an,O
52,object,O
52,correctly,O
53,car,O
53,stopped,O
53,too,O
53,far,O
53,from,O
53,line,O
53,at,O
53,intersection,O
53,",",O
53,map,O
53,annotation,O
53,incorrect,O
54,reckless,O
54,driver,O
54,behind,O
54,car,O
54,trying,O
54,to,O
54,undertake,O
54,during,O
54,right,O
54,turn,O
54,.,O
55,car,O
55,detected,O
55,green,O
55,traffic,O
55,light,O
55,color,O
55,when,O
55,red,O
55,",",O
55,missclassification,O
55,in,O
55,perception,O
56,car,O
56,driving,O
56,too,O
56,slow,O
56,due,O
56,to,O
56,stopped,B-C-5
56,truck,I-C-5
56,straddling,O
56,lane,O
57,parked,O
57,vehicle,O
57,sticking,O
57,out,O
57,in,O
57,road,O
58,car,O
58,stopped,O
58,",",O
58,then,O
58,proceeded,O
58,to,O
58,make,O
58,right,O
58,turn,O
58,on,O
58,red,O
58,however,O
58,did,O
58,not,O
58,have,O
58,sufficient,O
58,view,O
58,of,O
58,oncoming,O
58,traffic,O
59,car,O
59,was,O
59,going,O
59,to,O
59,cross,O
59,4-way,O
59,stop,O
59,intersection,O
59,when,O
59,it,O
59,was,O
59,not,O
59,its,O
59,turn,O
59,",",O
59,perception,O
59,insufficient,O
60,reckless,O
60,driver,O
60,trying,O
60,to,O
60,undertake,O
60,on,O
60,right,O
60,turn,O
60,at,O
60,red,O
60,light,O
61,planning,O
61,discrepancy,O
61,;,O
61,during,O
61,double,O
61,parked,O
61,vehicle,O
61,avoidance,O
61,maneuver,O
61,",",O
61,system,O
61,planned,O
61,incorrect,O
61,trajectory,O
62,the,O
62,operator,O
62,disengaged,O
62,the,O
62,system,O
62,manually,O
62,to,O
62,remain,O
62,in,O
62,the,O
62,operational,O
62,design,O
62,domain,O
62,.,O
62,the,O
62,driver,O
62,performed,O
62,a,O
62,steering,O
62,manouver,O
62,to,O
62,correct,O
62,the,O
62,trajectory,O
62,of,O
62,the,O
62,vehicle,O
62,.,O
63,driver,O
63,pressed,O
63,the,O
63,accelerator,O
63,pedal,O
63,because,O
63,the,O
63,vehicle,O
63,was,O
63,driving,O
63,slower,O
63,than,O
63,driver,O
63,expected,O
63,.,O
63,vehicle,O
63,not,O
63,in,O
63,an,O
63,active,O
63,construction,O
63,zone,O
63,.,O
63,no,O
63,emergency,O
63,vehicles,O
63,or,O
63,collisions,O
63,present,O
63,in,O
63,the,O
63,vicinity,O
63,.,O
63,weather,O
63,and,O
63,/,O
63,or,O
63,road,O
63,conditions,O
63,dry,O
63,in,O
63,the,O
63,area,O
63,.,O
64,planning,O
64,",",O
64,driver,O
64,precautionarily,O
64,intervened,O
64,for,O
64,insufficient,B-C-3
64,yielding,I-C-3
64,to,O
64,a,O
64,vehicle,O
64,going,O
64,straight,O
65,safety,O
65,driver,O
65,disengaged,B-E
65,due,O
65,to,O
65,issue,B-C-3
65,with,I-C-3
65,lane,I-C-3
65,change,I-C-3
65,maneuver,I-C-3
65,.,O
66,during,O
66,an,O
66,exit,O
66,/,O
66,merge,O
66,the,O
66,test,O
66,vehicle,O
66,was,O
66,going,O
66,the,O
66,``,O
66,correct,O
66,',O
66,speed,O
66,as,O
66,posted,O
66,by,O
66,road,O
66,signs,O
66,",",O
66,but,O
66,was,O
66,going,O
66,too,O
66,slow,O
66,or,O
66,too,O
66,fast,O
66,given,O
66,the,O
66,traffic,B-C-6
66,and,O
66,road,B-C-6
66,conditions,I-C-6
66,.,O
66,conditions,O
66,:,O
66,non-inclement,O
66,weather,O
66,",",O
66,dry,O
66,roads,O
66,",",O
66,no,O
66,other,O
66,factors,O
66,involved,O
67,during,O
67,a,O
67,merge,O
67,",",O
67,the,O
67,test,O
67,vehicle,O
67,failed,O
67,to,O
67,keep,O
67,an,O
67,appropriate,O
67,distance,O
67,between,O
67,a,O
67,merging,O
67,car,O
67,or,O
67,the,O
67,merging,O
67,car,O
67,failed,O
67,to,O
67,yield,O
67,to,O
67,us,O
67,.,O
67,conditions,O
67,:,O
67,non-inclement,O
67,weather,O
67,",",O
67,dry,O
67,roads,O
67,",",O
67,no,O
67,other,O
67,factors,O
67,involved,O
68,detected,O
68,red,O
68,traffic,O
68,light,O
68,color,O
68,when,O
68,green,O
68,",",O
68,missclassification,B-C-0
68,in,I-C-0
68,perception,I-C-0
69,stopped,O
69,at,O
69,pedestrian,O
69,crossing,O
69,when,O
69,there,O
69,was,O
69,no,O
69,pedestrian,O
69,",",O
69,yield,O
69,sign,O
69,misinterpreted,O
69,as,O
69,pedestrian,O
70,right,O
70,turn,O
70,at,O
70,traffic,O
70,light,O
70,too,O
70,slow,O
70,",",O
70,due,O
70,to,O
70,internal,B-C-7
70,system,I-C-7
70,speed,I-C-7
70,contraint,I-C-7
71,vehicle,O
71,on,O
71,left,O
71,of,O
71,3-way,O
71,stop,O
71,intersection,O
71,not,O
71,detected,O
71,",",O
71,sensors,O
71,inputs,O
71,into,O
71,fusion,O
71,layer,O
71,did,O
71,not,O
71,agree,O
71,with,O
71,high,O
71,confidence,O
71,that,O
71,a,O
71,perpendicular,O
71,facing,O
71,vehicle,O
71,was,O
71,at,O
71,the,O
71,intersection,O
72,understeer,O
72,on,O
72,right,O
72,turn,O
72,",",O
72,control,O
72,tuning,O
72,needs,O
72,improvement,O
73,prediction,O
73,discrepancy,O
73,;,O
73,incorrect,B-E
73,trajectory,I-E
73,estimation,I-E
73,for,O
73,a,B-C-5
73,vehicle,I-C-5
73,cutting,O
73,into,O
73,lane,O
73,of,O
73,traffic,O
74,car,O
74,approaching,O
74,stop,O
74,intersection,O
74,too,O
74,fast,O
74,",",O
74,deceleration,O
74,profile,O
74,for,O
74,longitudonal,O
74,control,O
74,required,O
74,tuning,O
75,car,O
75,creeping,O
75,into,O
75,crosswalk,O
75,when,O
75,stopping,O
75,for,O
75,intersection,O
75,",",O
75,incorrect,O
75,map,O
75,annotation,O
75,for,O
75,crosswalk,O
75,intersection,O
76,car,O
76,too,O
76,slow,O
76,to,O
76,make,O
76,left,O
76,turn,O
76,at,O
76,intersection,O
76,",",O
76,intersection,O
76,deemed,O
76,not,O
76,clear,O
76,although,O
76,car,O
76,had,O
76,right,O
76,of,O
76,way,O
77,detected,O
77,green,O
77,traffic,O
77,light,O
77,color,O
77,when,O
77,red,O
77,",",O
77,misclassification,O
77,in,O
77,perception,O
78,car,O
78,too,O
78,slow,O
78,to,O
78,cross,O
78,stop-intersection,O
78,when,O
78,it,O
78,was,O
78,its,O
78,turn,O
78,due,O
78,to,O
78,controls,B-C-3
78,logic,I-C-3
79,car,O
79,taking,O
79,too,O
79,long,O
79,to,O
79,make,O
79,a,O
79,lane,O
79,change,O
79,",",O
79,perception,O
79,judged,O
79,space,O
79,insufficient,O
80,car,O
80,backing,O
80,out,O
80,into,O
80,vehicle,O
80,and,O
80,pedestrians,O
80,j-walking,O
80,on,O
80,opposite,O
80,side,O
80,of,O
80,street,O
81,stopped,O
81,on,O
81,right,O
81,turn,O
81,at,O
81,red,O
81,light,O
81,too,O
81,early,O
81,before,O
81,proceeding,O
81,",",O
81,planning,O
81,needs,O
81,to,O
81,be,O
81,modified,O
81,to,O
81,account,O
81,for,O
81,right,O
81,turn,O
81,visibility,O
81,at,O
81,intersection,O
82,safety,O
82,driver,O
82,disengaged,B-E
82,due,O
82,to,O
82,inappropriate,B-C-3
82,braking,I-C-3
82,proposal,I-C-3
82,.,O
83,driver,B-E
83,disengagement,I-E
83,due,O
83,to,O
83,perception,B-C-0
83,discrepancy,I-C-0
83,in,O
83,the,O
83,detection,O
83,of,O
83,vehicle,O
83,in,O
83,adjacent,O
83,lane,O
84,driver,B-E
84,disengagement,I-E
84,due,O
84,to,O
84,planning,B-C-2
84,discrepancy,I-C-2
84,in,O
84,the,O
84,execution,O
84,of,O
84,mandatory,O
84,lane,O
84,change,O
85,prediction,O
85,discrepancy,O
85,;,O
85,incorrect,O
85,trajectory,O
85,estimation,O
85,for,O
85,a,O
85,vehicle,O
85,entering,O
85,4-way,O
85,intersection,O
85,early,O
86,hardware,B-C-7
86,diagnostic,I-C-7
86,caused,O
86,software,B-E
86,kickout,I-E
87,motion,O
87,/,O
87,behaviour,O
87,planning,O
87,discrepancy,O
87,;,O
87,on,O
87,city,O
87,road,O
87,in,O
87,moderate,O
87,traffic,O
87,with,O
87,cloudy,O
87,sky,O
87,during,O
87,dusk,O
88,motion,O
88,&,O
88,planning,O
88,issue,O
88,:,O
88,wrong,O
88,trajectory,O
88,at,O
88,highway,O
88,exit,O
89,motion,O
89,/,O
89,behaviour,O
89,planning,O
89,discrepancy,O
89,;,O
89,on,O
89,city,O
89,road,O
89,in,O
89,moderate,O
89,traffic,O
89,with,O
89,clear,O
89,sky,O
89,during,O
89,night,O
90,an,B-C-3
90,issue,I-C-3
90,with,I-C-3
90,motion,I-C-3
90,control,I-C-3
90,system,I-C-3
90,caused,O
90,the,O
90,system,O
90,to,O
90,disengage,B-E
90,.,O
90,the,O
90,system,O
90,asked,O
90,the,O
90,operator,O
90,to,O
90,take,O
90,control,O
90,of,O
90,the,O
90,vehicle,O
90,.,O
91,car,O
91,did,O
91,not,O
91,slow,O
91,down,O
91,soon,O
91,enough,O
91,for,O
91,detected,O
91,vehicle,O
91,",",O
91,perception,O
91,saw,O
91,vehicle,O
91,in,O
91,motion,O
91,when,O
91,static,O
92,car,O
92,did,O
92,not,O
92,drive,O
92,once,O
92,traffic,O
92,light,O
92,turned,O
92,green,O
92,",",O
92,acceleration,O
92,request,O
92,too,O
92,low,O
92,for,O
92,longitudinal,O
92,control,O
93,car,O
93,getting,O
93,close,O
93,to,O
93,curb,O
93,of,O
93,sidewalk,O
93,while,O
93,driving,O
93,due,O
93,to,O
93,oscillation,B-C-3
93,in,I-C-3
93,lateral,I-C-3
93,control,I-C-3
94,car,O
94,stopping,O
94,too,O
94,close,O
94,to,O
94,crosswalk,O
94,at,O
94,intersection,O
94,",",O
94,map,O
94,annotation,O
94,incorrect,O
95,speed,O
95,not,O
95,reduced,O
95,during,O
95,right,O
95,turn,O
95,",",O
95,curvature,O
95,in,O
95,map,O
95,annotation,O
95,not,O
95,correctly,O
95,defined,O
96,car,O
96,too,O
96,slow,O
96,to,O
96,cross,O
96,stop-intersection,O
96,when,O
96,it,O
96,was,O
96,its,O
96,turn,O
96,to,O
96,go,O
96,(,O
96,at,O
96,4,O
96,way,O
96,stop,O
96,),O
96,due,O
96,controls,B-C-3
96,logic,I-C-3
97,reckless,O
97,driver,O
97,tailgating,O
97,us,O
97,at,O
97,a,O
97,stop,O
98,reckless,O
98,driver,O
98,making,O
98,3-point,O
98,turn,O
98,backing,O
98,into,O
98,our,O
98,lane,O
99,car,O
99,creeping,O
99,forward,O
99,during,O
99,red,O
99,light,O
99,at,O
99,intersection,O
99,",",O
99,confidence,O
99,in,O
99,red,O
99,light,O
99,detection,O
99,was,O
99,fluctuating,O
100,an,B-C-1
100,issue,I-C-1
100,with,I-C-1
100,localization,I-C-1
100,component,I-C-1
100,caused,O
100,the,O
100,system,O
100,to,O
100,disengage,B-E
100,.,O
100,the,O
100,system,O
100,asked,O
100,the,O
100,operator,O
100,to,O
100,take,O
100,control,O
100,of,O
100,the,O
100,vehicle,O
100,.,O
101,in,O
101,a,O
101,congested,O
101,area,O
101,",",O
101,the,O
101,testing,O
101,car,O
101,was,O
101,too,O
101,close,O
101,to,O
101,the,O
101,front,O
101,car,O
101,while,O
101,proceeding,O
101,lane,O
101,change,O
101,to,O
101,the,O
101,left,O
101,.,O
101,driver,O
101,took,O
101,over,O
101,for,O
101,precaution,O
101,.,O
102,perception,O
102,",",O
102,driver,O
102,took,O
102,over,O
102,to,O
102,avoid,O
102,hitting,O
102,a,O
102,gate,O
102,which,O
102,is,O
102,accidently,O
102,closed,O
102,by,O
102,a,O
102,community,O
102,safety,O
102,guard,O
103,the,O
103,testing,O
103,car,O
103,did,O
103,not,O
103,yield,O
103,to,O
103,the,O
103,oncoming,O
103,car,O
103,while,O
103,executing,O
103,a,O
103,right,O
103,turn,O
103,without,O
103,traffic,O
103,light,O
103,.,O
103,the,O
103,driver,O
103,took,O
103,over,O
103,.,O
104,the,B-E
104,system,I-E
104,disengaged,I-E
104,because,O
104,of,O
104,an,B-C-7
104,error,I-C-7
104,with,I-C-7
104,the,I-C-7
104,fusion,I-C-7
104,component,I-C-7
104,.,O
104,the,O
104,system,O
104,asked,O
104,the,O
104,operator,O
104,to,O
104,take,O
104,control,O
104,of,O
104,the,O
104,vehicle,O
104,.,O
105,planning,O
105,",",O
105,driver,O
105,precautionarily,O
105,intervened,O
105,for,O
105,reckless,B-C-5
105,behind,I-C-5
105,vehicle,I-C-5
105,rushing,O
105,to,O
105,enter,O
105,zigzag,O
105,(,O
105,single,O
105,lane,O
105,to,O
105,two,O
105,lanes,O
105,split,O
105,),O
106,av,O
106,at,O
106,a,O
106,stop,O
106,sign,O
106,intersection,O
106,with,O
106,two,O
106,other,O
106,trailing,O
106,vehicles,O
106,.,O
106,the,O
106,current,O
106,av,O
106,version,O
106,takes,O
106,a,O
106,cautious,O
106,stop-creep,O
106,action,O
106,at,O
106,a,O
106,stop,O
106,sign,O
106,junction,O
106,",",O
106,which,O
106,is,O
106,slower,O
106,&,O
106,conservative,O
106,than,O
106,a,O
106,typical,O
106,human,O
106,driver,O
106,.,O
106,safety,O
106,driver,O
106,took,O
106,over,O
106,to,O
106,avoid,O
106,any,O
106,inconvenience,O
106,to,O
106,the,O
106,other,O
106,vehicles,O
107,av,O
107,falsely,O
107,detects,O
107,a,O
107,pedestrian,O
107,yield,O
107,sign,O
107,as,O
107,a,O
107,pedestrian,O
107,",",O
107,causing,O
107,the,O
107,av,O
107,to,O
107,come,O
107,to,O
107,a,O
107,stop,O
107,.,O
107,safety,O
107,driver,O
107,initiates,O
107,take,O
107,over,O
107,to,O
107,maintain,O
107,smooth,O
107,traffic,O
107,flow,O
107,.,O
108,av,O
108,at,O
108,a,O
108,stop,O
108,sign,O
108,intersection,O
108,with,O
108,one,O
108,other,O
108,trailing,O
108,vehicle,O
108,.,O
108,the,O
108,current,O
108,av,O
108,version,O
108,takes,O
108,a,O
108,cautious,O
108,stop-creep,O
108,action,O
108,at,O
108,a,O
108,stop,O
108,sign,O
108,junction,O
108,",",O
108,which,O
108,is,O
108,slower,O
108,&,O
108,conservative,O
108,than,O
108,a,O
108,typical,O
108,human,O
108,driver,O
108,.,O
108,safety,O
108,driver,O
108,took,O
108,over,O
108,to,O
108,avoid,O
108,any,O
108,inconvenience,O
108,to,O
108,the,O
108,other,O
108,vehicle,O
109,av,O
109,at,O
109,a,O
109,4-way,O
109,stop,O
109,sign,O
109,intersection,O
109,with,O
109,other,O
109,vehicles,O
109,.,O
109,the,O
109,current,O
109,av,O
109,version,O
109,takes,O
109,a,O
109,cautious,O
109,stop-creep,O
109,action,O
109,at,O
109,a,O
109,stop,O
109,sign,O
109,junction,O
109,",",O
109,which,O
109,is,O
109,slower,O
109,than,O
109,a,O
109,typical,O
109,human,O
109,driver,O
109,.,O
109,safety,O
109,driver,O
109,took,O
109,over,O
109,to,O
109,avoid,O
109,any,O
109,inconvenience,O
109,to,O
109,other,O
109,vehicles,O
109,.,O
110,safety,O
110,driver,O
110,disengaged,O
110,due,O
110,to,O
110,inappropriate,B-C-3
110,steering,I-C-3
110,.,O
111,lateral,O
111,oscillation,O
111,detected,O
111,for,O
111,a,O
111,couple,O
111,of,O
111,seconds,O
111,.,O
111,the,O
111,safety,O
111,driver,O
111,decided,O
111,to,O
111,take,O
111,over,O
111,.,O
111,cause,O
111,:,O
111,lateral,B-C-3
111,controller,I-C-3
111,sensitivity,I-C-3
111,to,O
111,quick,O
111,path,O
111,change,O
111,commands,O
111,or,O
111,localization,O
111,errors,O
111,causing,O
111,oscillation,B-CE-7
111,.,O
112,av,O
112,at,O
112,a,O
112,busy,O
112,4-way,O
112,stop,O
112,sign,O
112,intersection,O
112,.,O
112,the,O
112,current,O
112,av,O
112,version,O
112,takes,O
112,a,O
112,cautious,O
112,stop-creep,O
112,action,O
112,at,O
112,a,O
112,stop,O
112,sign,O
112,junction,O
112,",",O
112,which,O
112,is,O
112,slower,O
112,than,O
112,a,O
112,typical,O
112,human,O
112,driver,O
112,.,O
112,safety,O
112,driver,O
112,took,O
112,over,O
112,to,O
112,avoid,O
112,any,O
112,inconvenience,O
112,to,O
112,other,O
112,vehicles,O
112,.,O
113,av,O
113,at,O
113,a,O
113,busy,O
113,stop,O
113,sign,O
113,intersection,O
113,.,O
113,av,O
113,starts,O
113,to,O
113,move,O
113,after,O
113,the,O
113,first,O
113,cross,O
113,vehicle,O
113,turns,O
113,in,O
113,",",O
113,however,O
113,it,O
113,comes,O
113,to,O
113,a,O
113,stop,O
113,when,O
113,another,O
113,vehicle,O
113,approaches,O
113,the,O
113,cross,O
113,stop,O
113,sign,O
113,.,O
113,the,O
113,second,O
113,vehicle,O
113,also,O
113,turns,O
113,in,O
113,ahead,O
113,of,O
113,av,O
113,",",O
113,as,O
113,the,O
113,av,O
113,response,O
113,is,O
113,slow,O
113,and,O
113,conservative,O
113,.,O
113,safety,O
113,driver,O
113,intervenes,O
113,once,O
113,the,O
113,2nd,O
113,vehicle,O
113,took,O
113,av,O
113,s,O
113,right,O
113,of,O
113,way,O
113,.,O
114,av,O
114,decides,O
